Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified
GOOGLE-ChIJaY7J,2025-11-05,Silka Maytower,"Lodging, Restaurant",2,160000,"7, Jalan Munshi Abdullah, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50100 Kuala Lumpur,Kuala Lumpur,50100,https://www.silkahotels.com/silka-maytower-kuala-lumpur/index.html,,,03-2602 8388,,03-2602 8388,3.8,2445,Unknown,OPERATIONAL,ChIJaY7JVCxIzDERyFNEfX_nHo0,3.1540827,101.6982925,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (2445 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJz-RQ,2025-11-05,Anggun Boutique Hotel and Spa,"Cafe, Spa, Travel Agency",1,80000,"9, Tengkat Tong Shin, Bukit Bintang, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50200 Kuala Lumpur,Kuala Lumpur,50200,http://www.anggunkl.com/,,,03-2145 8003,,03-2145 8003,4.2,314,Unknown,OPERATIONAL,ChIJz-RQ4Sk2zDERxxSYzN3w9XM,3.1454778,101.7071195,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (314 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJNVhI,2025-11-05,Sani Hotel Kuala Lumpur,"Lodging, Restaurant",1,120000,"63, Jalan Putra, Chow Kit, 50350 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50350 Kuala Lumpur,Kuala Lumpur,50350,https://m.facebook.com/sanihotel/,,,03-4045 7777,,03-4045 7777,3.9,1762,Unknown,OPERATIONAL,ChIJNVhITSNIzDERrLG_Qs97C-U,3.1668657,101.6955246,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.9/5 (1762 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJxTEa,2025-11-05,"AnCasa Hotel Kuala Lumpur, Chinatown","Gym, Spa, Health",2,160000,"Jalan Tun Tan Cheng Lock, City Centre, 50050 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50050 Kuala Lumpur,Kuala Lumpur,50050,http://www.ancasahotels.com.my/,,,03-2026 6060,,03-2026 6060,4.2,4145,Unknown,OPERATIONAL,ChIJxTEatvdJzDERZP6yj2AJUyQ,3.145369,101.6992804,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (4145 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJN7sE,2025-11-05,Hotel Maya Kuala Lumpur City Centre,"Cafe, Gym, Health",2,160000,"138, Jln Ampang, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450 Kuala Lumpur,Kuala Lumpur,50450,http://www.hotelmaya.com.my/,,,03-2711 8866,,03-2711 8866,4.1,2988,Unknown,OPERATIONAL,ChIJN7sENdY3zDERuAXFmO4twQk,3.158787799999999,101.7079859,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (2988 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJBZb2,2025-11-05,Hotel Olympic Malaysia,"Cafe, Lodging, Restaurant",5,240000,"Hotel Olympic Malaysia, Wisma Ocm, Jalan Hang Jebat, City Centre, 50150 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50150 Kuala Lumpur,Kuala Lumpur,50150,https://my.findhotel.club/joytrip/?route=hotel&p=hotelolympicmalaysia,,,011-1106 4888,,011-1106 4888,4.5,5678,Unknown,OPERATIONAL,ChIJBZb2gBpJzDERLrLAMY1gUB0,3.1428197,101.7024261,Can't standardize operations across locations,2,,,Google Places API,Rating: 4.5/5 (5678 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJIzvy,2025-11-05,Subway @ Jalan Pinang KL,Restaurant,1,100000,"21, Jalan Pinang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450 Kuala Lumpur,Kuala Lumpur,50450,,,,,,,3.8,126,$$ (Moderate),OPERATIONAL,ChIJIzvym9Q3zDER9MZj809Opn0,3.152525000000001,101.7123451,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (126 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJ__-v,2025-11-05,The Lobby Lounge,"Restaurant, Night Club, Bar",1,80000,"168, Jln Imbi, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100,http://www.ritzcarlton.com/en/hotels/malaysia/kuala-lumpur/dining/the-lobby-lounge,,,018-623 0036,,018-623 0036,4.2,123,Unknown,OPERATIONAL,ChIJ__-v0i02zDERqJOpmmNGHGo,3.1469006,101.7154141,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (123 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJa5Vp,2025-11-05,Subway • Wisma UOA Damansara,Restaurant,1,100000,"Unit #50-G-3A, Ground Floor, Wisma Uoa Damansara, 50, Jalan Dungun, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50490 Kuala Lumpur,Kuala Lumpur,50490,http://www.subway.com.my/,,,03-2095 8788,,03-2095 8788,3.8,143,$$ (Moderate),OPERATIONAL,ChIJa5Vpq1RIzDER8-Wwe3eFNUI,3.1515234,101.6660643,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (143 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJX6Cx,2025-11-05,Lemon Garden,Restaurant,2,400000,"Shangri La Hotel, 11, Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250,https://www.shangri-la.com/kualalumpur/shangrila/dining/restaurants/lemon-garden-cafe/,,,03-2786 2378,,03-2786 2378,4.4,3936,$$$ (Expensive),OPERATIONAL,ChIJX6CxcipIzDERNfmpcz2-Lak,3.1541747,101.7061458,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.4/5 (3936 reviews),,New,,Google Places Scraper,2025-11-05
