Priority,Action,Suggested Approach,Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
1,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJz-RQ,2025-11-05,Anggun Boutique Hotel and Spa,"Cafe, Spa, Travel Agency",1,80000,"9, Tengkat Tong Shin, Bukit Bintang, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50200 Kuala Lumpur,Kuala Lumpur,50200.0,http://www.anggunkl.com/,,,60321458003.0,,60321458003.0,4.2,314.0,Unknown,OPERATIONAL,ChIJz-RQ4Sk2zDERxxSYzN3w9XM,3.1454778,101.7071195,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (314 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
2,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJ21ZM,2025-11-05,Eté Café,Cafe,1,80000,"25, Lorong Carnarvon, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,https://www.facebook.com/etecafe/,,,60165552602.0,,60165552602.0,4.4,59.0,Unknown,CLOSED_TEMPORARILY,ChIJ21ZMzpPDSjARpLN-1vhZ460,5.4145222,100.33535,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (59 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
3,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJX9qH,2025-11-05,Otherwise Cafe,Cafe,1,100000,"No. 6, Ground Floor, Jalan SS 4d/14, Ss 4, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,https://linktr.ee/otherwisecafe,,,60374943835.0,,60374943835.0,4.3,294.0,$$ (Moderate),CLOSED_TEMPORARILY,ChIJX9qHih5MzDERg-zjxfCMHSc,3.110720299999999,101.5975794,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (294 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
4,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJFTW9,2025-11-05,Pitaya by Juice Code,"Cafe, Restaurant",1,80000,"235, Lbh Chulia, George Town, 10200 George Town, Pulau Pinang, Malaysia",10200 George Town,,10200.0,http://www.instagram.com/pitayabyjuicecode,,,60173045348.0,,60173045348.0,4.5,427.0,Unknown,OPERATIONAL,ChIJFTW9B47DSjAREL39Gc55LMM,5.417819099999999,100.336959,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (427 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
5,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJAWNg,2025-11-05,Khoon Pastry House,"Cafe, Bakery, Store",1,100000,"29, Jalan Argyll, George Town, 10050 George Town, Pulau Pinang, Malaysia",10050 George Town,,10050.0,,,,6042632858.0,,6042632858.0,4.0,284.0,$$ (Moderate),OPERATIONAL,ChIJAWNgX5fDSjARLimV0Lxtmm4,5.420444999999999,100.331806,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (284 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
6,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJezhI,2025-11-05,Blackwood Cafe Petaling Jaya,Cafe,1,100000,"A-01-05, Eve Suite, Jalan PJU 1A/41, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,http://www.blackwoodcafe.com.my/,,,60376103408.0,,60376103408.0,4.4,328.0,$$ (Moderate),OPERATIONAL,ChIJezhIbiBMzDER9JyGUwuyWg4,3.1131654,101.5914718,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (328 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
7,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJEz83,2025-11-05,Pasta Ohsem & Purple Monkey Seapark,"Cafe, Bakery, Store",1,100000,"21, Jalan 21/11a, Sea Park, 46300 Petaling Jaya, Selangor, Malaysia",46300 Petaling Jaya,Selangor,46300.0,https://www.purplemonkey.com.my/,,,60128820359.0,,60128820359.0,4.6,437.0,$$ (Moderate),OPERATIONAL,ChIJEz833FRJzDERyHKfjSvILq8,3.110161499999999,101.6230547,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.6/5 (437 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
8,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJLTyx,2025-11-05,Cupcakes By Jowcreations,Cafe,1,80000,"Kompleks Kelana Centre Point, Ss 7, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,http://www.jowcreations.com,,,60123053617.0,,60123053617.0,4.0,1.0,Unknown,OPERATIONAL,ChIJLTyx3T1MzDERx1GRb0jID7o,3.0992193,101.5913385,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
9,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJZ5nA,2025-11-05,JOW Bakes,"Bakery, Cafe, Store",1,80000,"Unit 136, Block A Lobby B, Kompleks Kelana Centre Point, Jalan SS7/19, Ss 7, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,,,,60378866927.0,,60378866927.0,5.0,3.0,Unknown,OPERATIONAL,ChIJZ5nAwT1MzDERUW_XzLoJQJY,3.098969,101.591351,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 5/5 (3 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
10,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJ9ek5,2025-11-05,SIS & Co.,Cafe,1,100000,"Lot 1077, Jalan Jenjarum, Taman Sea, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,47400.0,http://www.facebook.com/SIS-CO-1597957250532584/info?tab=page_info,,,60126793476.0,,60126793476.0,3.8,631.0,$$ (Moderate),OPERATIONAL,ChIJ9ek5irJOzDER0JXZO9o8th0,3.1249061,101.609992,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (631 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
